RID,f_ipv4,service_type,program,length_bp,dbid,dbsize_bp,started_at,run_time
T88BNB6Y014,-1323224260,1,2,517,3820422,85971353635,2019-10-02T00:03:02.150,43
T88BNPJN014,990830191,1,0,834,6154732,251782689291,2019-10-02T00:21:14.643,439
T88BPSH5014,990830191,1,0,834,6154732,251782689291,2019-10-02T00:23:43.960,575
T88BPE29014,-1977340013,8,0,881,0,123456,2019-10-02T00:03:03.227,2
T88BRWR8014,990830191,1,0,825,6154732,251782689291,2019-10-02T00:25:58.417,606
T88BR7SF014,-1930523042,11,0,213,62063,251782689291,2019-10-02T00:40:18.387,8
T88BRWDX014,-1889322297,1,2,3290,3820422,85971353635,2019-10-02T00:26:45.293,691
T88BRTDR014,-982563729,8,0,4842,779763,270748224244,2019-10-02T00:03:07.117,11
T88BRS7B014,990830191,1,0,810,6154732,251782689291,2019-10-02T00:30:39.073,494
T88BSCVM014,57099375,1,2,677,3820422,85971353635,2019-10-02T00:27:50.900,462
T88BS77X014,-1378335882,11,1,109,3820422,85971353635,2019-10-02T00:03:24.150,66
T88BSBX2014,990830191,1,0,810,6154732,251782689291,2019-10-02T00:34:27.707,532
T88BSX7H014,-1235122724,1,0,111,6154732,251782689291,2019-10-02T00:04:00.250,309
T88BTY5M014,-1126597262,8,0,907,779763,270748224244,2019-10-02T00:03:08.227,10
T88BT856014,990830191,1,0,801,6154732,251782689291,2019-10-02T00:35:05.710,753
T88BTRJJ014,67034471,11,0,69,6154732,251782689291,2019-10-02T00:03:09.337,4
T88BUTUS014,-1855962001,1,2,2189,3820422,85971353635,2019-10-02T00:36:17.860,769
T88BU0W6004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:55:43.093,120
T88BUDUN004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:55:43.343,92
T88BVPZC004,890834562,8,0,407,93623,561692980667,2019-10-02T00:55:47.360,92
T88BV86B014,1639509453,22,0,261,0,123456,2019-10-02T00:03:08.400,3
