RID,f_ipv4,service_type,program,length_bp,dbid,dbsize_bp,started_at,run_time
T8A39HT3004,-317190526,1,2,215,3820422,85971353635,2019-10-02T00:33:34.487,143
T8A3A1CW004,-317190526,8,0,215,93623,561692980667,2019-10-02T00:33:34.500,78
T8A3BT4J014,1278581997,2,1,16,93593,12472129,2019-10-02T00:32:44.170,2
T8A3BR4A014,1278581997,11,1,16,3820422,85971353635,2019-10-02T00:32:48.453,60
T8A3CJNJ014,310085499,8,0,1893,0,123456,2019-10-02T00:32:44.687,2
T8A3CGD9004,-317190526,8,0,867,6154732,251782689291,2019-10-02T00:33:34.517,532
T8A3CM6N004,890834562,8,0,405,93623,561692980667,2019-10-02T01:47:12.320,45
T8A3DB8V014,-1125090190,1,0,2465,6154732,251782689291,2019-10-02T00:32:45.763,15
T8A3FWUP014,-338820653,1,0,25,0,123456,2019-10-02T00:32:47.843,4
T8A3FC13014,530962838,11,0,451,62063,251782689291,2019-10-02T01:17:47.110,10
T8A3G5J8014,-1693563684,8,0,499,0,123456,2019-10-02T00:32:49.047,1
T8A3HZA6014,-1125090190,11,0,2465,6154732,251782689291,2019-10-02T00:32:59.610,4
T8A3J984014,638194398,11,1,3,3820422,85971353635,2019-10-02T00:32:50.610,11
T8A3JUX4014,453920397,1,2,290,3820422,85971353635,2019-10-02T00:32:59.610,78
T8A3MHYE014,327160010,1,0,1988,6154732,251782689291,2019-10-02T00:32:53.250,14
T8A3PAN4014,-482849151,11,1,414,3820422,85971353635,2019-10-02T00:32:54.827,48
T8A3PKYH014,434277725,11,0,342,6154732,251782689291,2019-10-02T00:32:54.843,5
T8A3R5ZD014,-1878366953,1,0,11697,6154732,251782689291,2019-10-02T00:37:56.783,872
T8A3SBN6014,-1501103413,11,0,535,6154732,251782689291,2019-10-02T00:32:56.407,4
T8A3SGZV014,1175424622,11,0,408,6154732,251782689291,2019-10-02T00:32:57.470,5
T8A3TNRK014,98785986,1,1,325,4032492,85971353635,2019-10-02T00:33:02.873,63
T8A3T2C1014,1929184122,11,1,653,3820422,85971353635,2019-10-02T00:32:57.483,32
T8A3T3X5014,1439500866,8,0,477,779763,270748224244,2019-10-02T00:33:00.703,11
T8A3VY29014,-306803349,1,0,20,0,123456,2019-10-02T00:33:02.890,192
T8A3Y17X014,1175086722,1,0,23,6154732,251782689291,2019-10-02T00:33:02.873,10
T8A3ZCR0014,-1304284283,11,1,500,3820422,85971353635,2019-10-02T00:33:11.877,8
T8A403E3014,1558898322,1,2,483,3820422,85971353635,2019-10-02T01:01:34.517,325
T8A40A27004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:47:12.337,248
T8A40RVK014,-485264950,8,0,300,779763,270748224244,2019-10-02T00:33:07.750,9
T8A416EJ004,-317190526,8,0,867,6154732,251782689291,2019-10-02T00:33:34.517,534
T8A41PT0004,890834562,8,0,405,93623,561692980667,2019-10-02T01:47:15.617,52
T8A415PP004,-317190526,1,2,867,3820422,85971353635,2019-10-02T00:33:34.533,154
T8A42D4H004,-317190526,8,0,215,6154732,251782689291,2019-10-02T00:33:39.330,526
T8A421E8014,827687218,8,0,188641,0,123456,2019-10-02T00:33:07.157,11
T8A426SW014,-280258974,8,0,2591,0,123456,2019-10-02T00:33:07.173,2
T8A42WBN004,-317190526,1,2,215,3820422,85971353635,2019-10-02T00:33:39.347,163
T8A43CGR004,-317190526,8,0,215,93623,561692980667,2019-10-02T00:33:39.347,86
T8A44Z0Z014,-88612230,11,0,473,6154732,251782689291,2019-10-02T00:33:08.970,7
T8A44FZ4014,-1682726993,1,0,70,6154732,251782689291,2019-10-02T00:33:08.940,6
T8A454TH014,327160010,1,0,1901,6154732,251782689291,2019-10-02T00:33:09.563,13
T8A45WU7004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:47:18.383,323
T8A45DH9004,890834562,1,2,405,3820422,85971353635,2019-10-02T01:47:28.523,179
T8A46WT9004,-317190526,8,0,867,6154732,251782689291,2019-10-02T00:33:45.097,521
T8A46W2N004,890834562,8,0,405,93623,561692980667,2019-10-02T01:48:02.670,193
T8A463PS014,1985192070,8,0,1005,1536283,23135365657,2019-10-02T00:33:10.703,8
T8A46ZEY004,-317190526,1,2,867,3820422,85971353635,2019-10-02T00:33:45.127,177
T8A46Y6B004,-317190526,8,0,216,6154732,251782689291,2019-10-02T00:33:55.737,511
T8A46U9T014,-102435835,1,1,554,3820442,28272785,2019-10-02T00:33:16.800,57
T8A46S5H004,-317190526,8,0,867,93623,561692980667,2019-10-02T00:33:55.753,93
T8A47D56014,453920397,1,2,3755,3820422,85971353635,2019-10-02T00:33:16.813,148
T8A47DMF004,-317190526,1,2,216,3820422,85971353635,2019-10-02T00:33:55.770,155
T8A47H48014,-283086516,11,1,367,3820422,85971353635,2019-10-02T00:33:14.063,9
T8A47G5C014,378344046,8,0,76,0,123456,2019-10-02T00:33:11.940,2
T8A47F0E004,-317190526,8,0,216,93623,561692980667,2019-10-02T00:33:55.783,73
T8A48UCN014,-270763587,11,1,51,3820422,85971353635,2019-10-02T00:33:13.017,23
T8A4907N004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:50:51.110,368
T8A4AF21014,569669132,8,0,2591,0,123456,2019-10-02T00:33:15.127,2
T8A4A701014,1366978947,11,1,3858,3820422,85971353635,2019-10-02T00:45:37.650,103
T8A4B7B8014,-862826682,11,0,1782,6154732,251782689291,2019-10-02T00:33:15.140,3
T8A4B1NV004,-317190526,8,0,216,6154732,251782689291,2019-10-02T00:34:07.380,500
T8A4BZWT014,-68602258,11,0,245,6154732,251782689291,2019-10-02T00:33:16.203,2
T8A4B6F2014,491645886,8,0,284,0,123456,2019-10-02T00:33:16.203,2
T8A4DBE8014,871217467,1,2,336,3820422,85971353635,2019-10-02T00:33:17.390,34
T8A4DFDJ014,1359636098,8,0,1474,779763,270748224244,2019-10-02T00:33:20.093,10
T8A4DHTN014,-946897861,8,0,600,779763,270748224244,2019-10-02T00:33:21.173,10
T8A4DJCB014,-1260022406,1,0,21,6154732,251782689291,2019-10-02T00:33:17.940,11
T8A4E674014,1746737285,6,1,117,4032492,85971353635,2019-10-02T00:33:19.000,39
T8A4G5R9014,162565578,11,1,9,3820422,85971353635,2019-10-02T00:33:21.190,21
T8A4MBR5014,1608903300,8,0,4785,0,123456,2019-10-02T00:33:24.800,2
T8A4N7X9014,939882956,1,0,342,6154732,251782689291,2019-10-02T03:39:53.873,222
T8A4NS9Y014,209332343,11,0,269,6154732,251782689291,2019-10-02T00:33:26.377,2
T8A4NCSP014,929407095,8,0,16569,779763,270748224244,2019-10-02T00:33:29.110,11
T8A4PMVX014,-1765752015,1,0,23,6154732,251782689291,2019-10-02T00:33:26.393,13
T8A4PXSA014,-1682726993,1,0,46,6154732,251782689291,2019-10-02T00:33:26.953,13
T8A4PF8K014,-239831696,11,1,133,3820422,85971353635,2019-10-02T00:33:26.953,28
T8A4P5N7014,213831862,1,0,27,6154732,251782689291,2019-10-02T00:33:26.970,16
T8A4RDEH014,-377342334,8,0,1204,0,123456,2019-10-02T00:33:30.160,5
T8A4R94B014,-1485899603,11,0,180,6154732,251782689291,2019-10-02T00:33:28.050,2
T8A4UCEH014,1451204959,8,0,3921,0,123456,2019-10-02T00:33:30.707,2
T8A4U2RM014,-1340600702,1,0,934,93613,1269791,2019-10-02T00:33:31.250,1
T8A4V2HC014,1614746497,8,0,809,2938612,3257319537,2019-10-02T00:33:31.267,7
T8A4V8H4014,2116325832,1,2,215,3820422,85971353635,2019-10-02T01:00:17.720,307
T8A4W2UC014,1994975025,11,0,4149,6154732,251782689291,2019-10-02T00:33:32.847,4
T8A4WDKJ014,-1340600702,1,1,239,44534,159704,2019-10-02T00:33:33.377,1
T8A4Y2CG004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:47:28.540,316
T8A4ZYY2014,-775522383,8,0,14437,62203,251782689291,2019-10-02T00:33:35.597,19
T8A4Z74T004,890834562,8,0,405,93623,561692980667,2019-10-02T01:48:02.687,120
T8A4Z42Z004,-317190526,8,0,867,6154732,251782689291,2019-10-02T00:34:16.723,494
T8A4ZWSM014,-149857639,11,1,118,3820422,85971353635,2019-10-02T00:33:39.313,74
T8A502S2004,-317190526,1,2,867,3820422,85971353635,2019-10-02T00:34:16.737,192
T8A50K7A014,-2015358770,1,1,497,3820502,178728640,2019-10-02T00:33:39.313,65
T8A50CW0004,-317190526,8,0,867,93623,561692980667,2019-10-02T00:34:16.753,77
T8A50ZEJ004,-317190526,8,0,215,6154732,251782689291,2019-10-02T00:34:22.630,498
T8A51PM4004,-317190526,1,2,215,3820422,85971353635,2019-10-02T00:34:22.643,169
T8A51B9M004,-317190526,8,0,215,93623,561692980667,2019-10-02T00:34:22.643,64
T8A538NH004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:48:02.700,305
T8A53KKY014,939882956,1,0,345,6154732,251782689291,2019-10-02T03:43:40.027,121
T8A53Y12014,310085499,11,1,630,3820422,85971353635,2019-10-02T00:33:39.893,33
T8A531CB004,890834562,1,2,405,3820422,85971353635,2019-10-02T01:50:59.017,140
T8A53F14004,890834562,8,0,405,93623,561692980667,2019-10-02T01:50:59.017,153
T8A54A1F004,-317190526,8,0,867,6154732,251782689291,2019-10-02T00:34:32.380,491
T8A546RZ004,-317190526,1,2,867,3820422,85971353635,2019-10-02T00:34:32.410,189
T8A54V7U004,-317190526,8,0,867,93623,561692980667,2019-10-02T00:34:32.440,63
T8A553BR004,-317190526,8,0,216,6154732,251782689291,2019-10-02T00:34:43.677,480
T8A55HT3014,1207697867,11,0,556,6154732,251782689291,2019-10-02T00:33:41.987,8
T8A556J8014,-220919016,1,2,1371,3820422,85971353635,2019-10-02T00:33:45.050,98
T8A55FH4004,-317190526,1,2,216,3820422,85971353635,2019-10-02T00:34:43.693,158
T8A5681R004,-317190526,8,0,216,93623,561692980667,2019-10-02T00:34:43.707,44
T8A57SNX014,-1485899603,11,0,300,6154732,251782689291,2019-10-02T00:33:44.207,2
T8A57W4T014,56566482,8,0,586,0,123456,2019-10-02T00:33:44.923,2
T8A58NV0004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:51:09.923,373
T8A58D0V014,-193016354,11,1,325,3820422,85971353635,2019-10-02T00:33:45.003,31
T8A58V00004,890834562,1,2,405,3820422,85971353635,2019-10-02T01:51:22.423,135
T8A59CGS004,890834562,8,0,405,93623,561692980667,2019-10-02T01:51:22.503,151
T8A596TV014,-1076574905,11,1,273,3820422,85971353635,2019-10-02T01:07:21.087,461
T8A59U0K004,-317190526,8,0,215,6154732,251782689291,2019-10-02T00:34:43.707,482
T8A5B8SW014,442823114,1,0,536,6154732,251782689291,2019-10-02T00:33:47.253,9
T8A5CPJ4014,-377342334,8,0,1223,0,123456,2019-10-02T00:33:52.003,5
T8A5DU74014,-1907632490,1,2,643,3820422,85971353635,2019-10-02T00:53:21.150,421
T8A5EPW4014,276768406,1,0,508,6154732,251782689291,2019-10-02T00:33:50.957,9
T8A5F8KE014,-220919016,1,2,1662,3820422,85971353635,2019-10-02T00:33:55.737,104
T8A5H6V1014,-1907632490,1,2,1154,3820422,85971353635,2019-10-02T00:58:19.527,333
T8A5HDJA014,-68602258,11,0,524,6154732,251782689291,2019-10-02T00:33:53.580,5
T8A5MD5H014,-629215012,11,0,10564,6154732,251782689291,2019-10-02T00:33:57.347,8
T8A5NYC6014,-1190567726,11,1,424,3820422,85971353635,2019-10-02T00:34:02.160,7
T8A5NP50014,-1934302679,1,0,373,6154732,251782689291,2019-10-02T00:34:07.300,179
T8A5P97D014,-935664011,11,0,347,6154732,251782689291,2019-10-02T00:34:01.080,4
T8A5PM7P014,1634835842,11,1,201,3820422,85971353635,2019-10-02T00:34:01.080,13
T8A5PBCA014,2130789544,8,0,10336,62073,251782689291,2019-10-02T00:34:07.317,161
T8A5SJFU014,-1340600702,1,1,620,44914,1358990,2019-10-02T00:34:01.627,1
T8A5TWHB014,2130789544,8,0,10242,62073,251782689291,2019-10-02T00:34:07.363,140
T8A5T3YP014,-1930523042,11,0,213,62063,251782689291,2019-10-02T01:14:02.710,10
T8A5TME0014,-220919016,1,2,525,3820422,85971353635,2019-10-02T00:34:07.347,117
T8A5UDGK014,1175086722,1,0,23,6154732,251782689291,2019-10-02T00:34:02.707,13
T8A5X00N014,2126150971,8,0,7460,0,123456,2019-10-02T00:34:06.033,5
T8A5X502014,-393561051,11,0,431,62063,251782689291,2019-10-02T02:26:09.430,31
T8A60VWP014,-169431146,1,1,350,4032492,85971353635,2019-10-02T00:34:11.393,107
T8A61JUN014,-530715471,8,0,1291,779763,270748224244,2019-10-02T00:34:12.457,11
T8A62HRM014,303039951,11,0,1530,6154732,251782689291,2019-10-02T00:34:11.410,67
T8A65NAH014,56566482,1,2,586,3820422,85971353635,2019-10-02T00:34:13.503,36
T8A66SP5014,-1416169417,11,1,217,3820422,85971353635,2019-10-02T00:34:16.707,9
T8A661YF014,-338820653,1,0,18,0,123456,2019-10-02T00:34:14.580,4
T8A66VPJ014,-1631231080,11,0,658,6154732,251782689291,2019-10-02T00:34:14.580,7
T8A669UF014,279104961,11,1,12,3820422,85971353635,2019-10-02T00:55:52.030,572
T8A68FUZ014,748212682,11,0,265,6154732,251782689291,2019-10-02T00:34:16.723,4
T8A687J7014,1305333942,11,0,2480,6154732,251782689291,2019-10-02T00:34:17.300,3
T8A69J2E014,-1024777871,8,0,820,0,123456,2019-10-02T00:34:18.363,2
T8A6A3U2014,569669132,8,0,2591,0,123456,2019-10-02T00:34:18.893,3
T8A6BA0Y014,-280258974,8,0,2591,0,123456,2019-10-02T00:34:19.940,2
T8A6D78K014,-1725110381,11,0,238,62063,251782689291,2019-10-02T03:10:30.603,12
T8A6ED4S014,210625995,11,0,724,6154732,251782689291,2019-10-02T00:34:22.613,3
T8A6EBGV014,1195857573,11,0,94281,6154732,251782689291,2019-10-02T00:34:22.613,13
T8A6G6XR014,-1938835898,11,1,248,3820422,85971353635,2019-10-02T00:34:25.270,31
T8A6JS53014,1716244080,11,0,1430,6154732,251782689291,2019-10-02T00:34:29.957,26
T8A6MTNR014,-1304284283,11,1,500,3820422,85971353635,2019-10-02T00:34:30.597,8
T8A6PUXE014,-68602258,11,0,124,6154732,251782689291,2019-10-02T00:34:30.613,11
T8A6RY0E014,1217263740,1,0,21,6154732,251782689291,2019-10-02T00:34:32.347,12
T8A6RY2F014,-270763587,11,1,293,3820422,85971353635,2019-10-02T00:34:32.347,88
T8A6SJ4Z014,929494208,8,0,1338,1335343,180315393294,2019-10-02T00:34:32.973,5
T8A6T192014,210625995,11,0,723,6154732,251782689291,2019-10-02T00:34:34.050,5
T8A6V00R014,-2027050569,8,0,1380,893803,3257319537,2019-10-02T00:34:37.723,6
T8A6WTR9014,-2091126317,1,0,251,6154732,251782689291,2019-10-02T00:34:37.177,8
T8A6XN1D014,827687218,8,0,188641,0,123456,2019-10-02T00:34:37.740,14
T8A6YCAN014,-1508372862,1,1,239,44534,159704,2019-10-02T00:34:39.363,1
T8A72UY7014,-862826682,11,0,1943,6154732,251782689291,2019-10-02T00:34:42.550,15
T8A73MNJ014,-1190567726,11,1,780,3820422,85971353635,2019-10-02T00:34:45.863,9
T8A73MVP014,-351445375,11,0,711,6154732,251782689291,2019-10-02T00:34:44.270,13
T8A73T4H014,260390021,8,0,1029,779763,270748224244,2019-10-02T00:34:46.910,10
T8A73JJW004,890834562,1,2,405,3820422,85971353635,2019-10-02T01:47:18.400,185
T8A74DJB004,-317190526,8,0,216,93623,561692980667,2019-10-02T00:34:51.707,36
T8A743RR014,-814354997,8,0,164,0,123456,2019-10-02T00:34:44.833,3
T8A77DR9014,984457350,8,0,5144,0,123456,2019-10-02T00:34:47.473,2
T8A77BX2004,907611778,11,1,48,3820422,85971353635,2019-10-02T00:34:47.457,93
T8A78BKA004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:47:18.430,263
T8A78S63004,-317190526,8,0,218,6154732,251782689291,2019-10-02T00:34:51.723,475
T8A78PYW014,-1333051317,11,0,2789,6154732,251782689291,2019-10-02T00:34:48.520,5
T8A78AME004,-317190526,1,2,218,3820422,85971353635,2019-10-02T00:34:51.740,156
T8A78TH9014,1281542305,11,0,532,6154732,251782689291,2019-10-02T00:34:49.050,6
T8A78YS3004,-317190526,8,0,218,93623,561692980667,2019-10-02T00:34:56.723,32
T8A79HNR004,907611778,11,1,59,3820422,85971353635,2019-10-02T00:34:51.693,126
T8A793GK014,1415135159,8,0,219,62463,251782689291,2019-10-02T00:34:52.350,9
T8A79241014,274548657,11,0,1420,6154732,251782689291,2019-10-02T00:34:51.707,52
T8A7CXK8014,-88612230,11,0,473,6154732,251782689291,2019-10-02T00:34:52.943,7
T8A7D30T014,-32054681,8,0,1218,0,123456,2019-10-02T00:34:53.520,2
T8A7GC3R014,1736845429,11,0,660,6154732,251782689291,2019-10-02T00:34:56.710,8
T8A7JWR4014,260390021,8,0,1776,779763,270748224244,2019-10-02T00:35:01.490,9
T8A7JCEG014,-338820653,1,0,25,0,123456,2019-10-02T00:34:59.380,3
T8A7P0GM014,-1907632490,1,2,707,3820422,85971353635,2019-10-02T00:59:10.660,335
T8A7PJM3014,-1725110381,11,0,219,62063,251782689291,2019-10-02T03:12:24.460,10
T8A7P5CW014,-1342601072,8,0,549,6156572,2818974548,2019-10-02T00:35:03.070,7
T8A7SAK0014,-1190567726,11,1,424,3820422,85971353635,2019-10-02T00:35:05.193,33
T8A7TWPP014,-1333051317,11,0,2789,6154732,251782689291,2019-10-02T00:35:05.770,7
T8A7USVW014,260390021,8,0,1776,779763,270748224244,2019-10-02T00:35:16.217,18
T8A7URY2014,1068123547,11,1,206,3820422,85971353635,2019-10-02T00:35:07.350,36
T8A7UMDB014,-1938835898,11,1,248,3820422,85971353635,2019-10-02T00:35:34.240,64
T8A7V5N0014,279104961,11,1,12,3820422,85971353635,2019-10-02T01:00:00.750,433
T8A7VFX7014,1278581997,11,1,16,3820422,85971353635,2019-10-02T00:35:07.367,30
T8A7V704014,-1659649371,11,1,489,3820422,85971353635,2019-10-02T00:35:08.070,49
T8A7VRAJ014,-81956692,11,1,401,3820422,85971353635,2019-10-02T00:35:08.083,51
T8A7VBUM014,-377342334,8,0,1237,0,123456,2019-10-02T00:35:10.197,5
T8A7WH1C014,-1230988158,1,0,57,6154732,251782689291,2019-10-02T00:35:08.630,22
T8A7W7RP014,-1725110381,11,0,238,62063,251782689291,2019-10-02T03:12:24.460,11
T8A7XZG1014,-1508372862,1,1,620,44914,1358990,2019-10-02T00:35:10.743,2
T8A7YUTB014,1477897669,11,1,609,3820422,85971353635,2019-10-02T00:35:34.240,139
T8A7ZTXH014,1092218196,8,0,900,779763,270748224244,2019-10-02T00:35:14.110,19
T8A81VGA014,1774953334,11,0,500,6154732,251782689291,2019-10-02T00:35:14.123,7
T8A81T89014,-68602258,11,0,215,6154732,251782689291,2019-10-02T00:35:14.140,3
T8A8233V014,2130789544,8,0,10236,62073,251782689291,2019-10-02T00:35:38.023,5
T8A839J7014,346925973,11,0,1384,6154732,251782689291,2019-10-02T00:35:15.687,73
T8A84Y7H014,982872236,11,0,2632,6154732,251782689291,2019-10-02T00:35:16.750,4
T8A877EK014,728013435,11,0,85185,6154732,251782689291,2019-10-02T00:35:19.487,19
T8A88WGM014,-779319232,11,0,1095,6154732,251782689291,2019-10-02T00:35:38.010,2
T8A89HBZ014,-1659649371,11,1,494,3820422,85971353635,2019-10-02T00:35:34.257,68
T8A89FZA014,378344046,8,0,76,0,123456,2019-10-02T00:35:21.580,2
T8A8A9BX014,-544575037,11,0,292,62063,251782689291,2019-10-02T01:16:02.523,11
T8A8D8C2014,2133322686,11,0,672,6154732,251782689291,2019-10-02T00:35:26.253,3
T8A8F36H014,-642415918,8,0,145,1335343,180315393294,2019-10-02T00:35:29.943,4
T8A8FGZ9014,-85168226,1,0,6586,6154732,251782689291,2019-10-02T00:35:27.850,30
T8A8GS2H014,56566482,1,2,969,3820422,85971353635,2019-10-02T00:35:37.993,93
T8A8JNBJ014,305439089,8,0,653,0,123456,2019-10-02T00:35:30.477,2
T8A8M0C3014,963788720,11,1,231,3820422,85971353635,2019-10-02T00:35:32.583,26
T8A8NJT1014,210625995,11,0,729,6154732,251782689291,2019-10-02T00:35:34.227,2
T8A8PUSC014,939882956,1,0,345,6154732,251782689291,2019-10-02T03:40:55.633,169
T8A8R5RR014,1996939844,6,1,485,4032492,85971353635,2019-10-02T00:35:35.833,71
T8A8SN09014,591540795,1,2,3590,3820422,85971353635,2019-10-02T01:04:44.603,439
T8A8TMSN014,1356651218,8,0,369,0,123456,2019-10-02T00:35:37.397,2
T8A8UGGM014,-814354997,1,0,164,0,123456,2019-10-02T00:35:39.103,3
T8A8WWFS014,887724222,11,1,1127,3820422,85971353635,2019-10-02T00:35:43.417,8
T8A8WTPS014,939882956,1,0,385,6154732,251782689291,2019-10-02T03:43:40.027,123
T8A8WTTE014,939882956,1,0,345,6154732,251782689291,2019-10-02T03:45:16.093,79
T8A8Y327014,-1659649371,11,1,496,3820422,85971353635,2019-10-02T00:35:55.607,115
T8A8ZWVV014,1976156810,1,0,2,93753,3017911408536,2019-10-02T00:35:46.043,19
T8A91ZCH014,939882956,1,0,345,6154732,251782689291,2019-10-02T03:45:42.283,140
T8A925SA014,56566482,11,0,775,6154732,251782689291,2019-10-02T00:35:47.090,4
T8A94V8W014,1175086722,1,0,23,6154732,251782689291,2019-10-02T00:35:48.670,11
T8A965V5014,1842272672,1,2,534,3820422,85971353635,2019-10-02T01:06:13.857,677
T8A9BEHZ014,601523337,8,0,1126,779763,270748224244,2019-10-02T00:35:57.310,8
T8A9B10W014,-1333051317,11,0,1278,6154732,251782689291,2019-10-02T00:35:55.590,4
T8A9BHM2014,1638323387,11,1,40,3820422,85971353635,2019-10-02T00:35:56.200,17
T8A9B3AF014,2130789544,8,0,10230,62073,251782689291,2019-10-02T00:36:07.840,26
T8A9BNNT014,-702558754,11,0,4254,6154732,251782689291,2019-10-02T00:35:56.200,5
T8A9C9H3014,-351445375,1,2,711,3820422,85971353635,2019-10-02T00:35:56.763,41
T8A9CT43014,1356651218,1,0,369,0,123456,2019-10-02T00:35:56.763,6
T8A9E93B014,-814354997,1,0,164,6154732,251782689291,2019-10-02T00:35:58.387,9
T8A9EXHB014,1393190530,8,0,2912,779763,270748224244,2019-10-02T00:36:01.530,9
T8A9F4ZX014,1001079495,1,2,625,3820422,85971353635,2019-10-02T00:36:07.840,104
T8A9GA71014,1544185474,8,0,1703,0,123456,2019-10-02T00:36:00.480,2
T8A9JY1V014,338926341,1,2,287,3820422,85971353635,2019-10-02T01:21:36.530,370
T8A9JUSA014,1923735995,1,2,1071,3820422,85971353635,2019-10-02T00:36:03.090,48
T8A9JMKE014,1001079495,1,2,505,3820422,85971353635,2019-10-02T00:36:07.857,127
T8A9PDTN014,338926341,1,2,255,3820422,85971353635,2019-10-02T01:25:44.597,318
T8A9RPDJ014,305439089,8,0,680,0,123456,2019-10-02T00:36:07.230,2
T8A9RCJX014,-233022565,11,1,427,3820422,85971353635,2019-10-02T00:36:12.623,11
T8A9RT0E014,-702558754,11,0,8385,6154732,251782689291,2019-10-02T00:36:07.827,6
T8A9RV06014,1090787722,11,0,837,6154732,251782689291,2019-10-02T00:36:08.420,6
T8A9S0ZR014,-1040182681,11,0,385,6154732,251782689291,2019-10-02T00:36:08.950,6
T8A9S047014,-820900222,2,1,102,1235813,12472129,2019-10-02T00:36:08.933,3
T8A9TJ57014,2109373755,11,0,7460,6154732,251782689291,2019-10-02T00:36:10.530,16
T8A9U64N014,-1725110381,11,0,238,62063,251782689291,2019-10-02T03:15:55.150,12
T8A9WM3F014,1716244080,11,0,1417,6154732,251782689291,2019-10-02T00:36:15.783,43
T8A9W3SZ014,-88612230,11,0,473,6154732,251782689291,2019-10-02T00:36:12.623,15
T8A9Y68K014,939882956,1,0,1209,6154732,251782689291,2019-10-02T03:47:57.197,65
T8A9ZKJE004,-317190526,1,2,215,3820422,85971353635,2019-10-02T00:36:17.410,174
T8AA0CDS004,907611778,11,1,344,3820422,85971353635,2019-10-02T00:36:17.393,135
T8AA1W33004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:33:30.623,829
T8AA2XDA004,890834562,1,2,405,3820422,85971353635,2019-10-02T01:46:14.067,147
T8AA21HN014,-1,8,0,466,893803,3257319537,2019-10-02T00:36:21.817,9
T8AA2PAG004,890834562,8,0,405,93623,561692980667,2019-10-02T01:46:28.320,62
T8AA3J59014,-485264950,8,0,398,779763,270748224244,2019-10-02T00:36:21.817,11
T8AA3GUA014,-1333051317,11,0,1293,6154732,251782689291,2019-10-02T00:36:20.207,8
T8AA4J10014,-765974901,11,1,543,3820422,85971353635,2019-10-02T00:36:20.737,36
T8AA4RJT004,-317190526,1,2,216,3820422,85971353635,2019-10-02T00:36:55.700,138
T8AA4EPE004,-317190526,8,0,216,93623,561692980667,2019-10-02T00:36:55.760,224
T8AA5ND0004,907611778,11,1,87,3820422,85971353635,2019-10-02T00:36:46.480,100
T8AA65WF014,606416392,11,0,738,6154732,251782689291,2019-10-02T00:36:22.347,57
T8AA66KT014,123675346,1,2,2688,3820422,85971353635,2019-10-02T00:50:39.470,559
T8AA6NNE004,890834562,8,0,405,6154732,251782689291,2019-10-02T01:47:15.587,245
T8AA7FJ5004,890834562,1,2,405,3820422,85971353635,2019-10-02T01:47:18.413,187
T8AA74Z9004,890834562,8,0,405,93623,561692980667,2019-10-02T01:47:28.557,108
T8AA8R0H004,907611778,11,1,143,3820422,85971353635,2019-10-02T00:36:46.493,123
T8AA8SMX014,939882956,1,0,345,6154732,251782689291,2019-10-02T03:48:27.480,206
T8AA8PDW004,-317190526,8,0,218,6154732,251782689291,2019-10-02T00:37:09.550,347
T8AA8XX8014,37587726,1,2,1107,3820422,85971353635,2019-10-02T02:12:55.590,1004
T8AA8J0R004,-317190526,1,2,218,3820422,85971353635,2019-10-02T00:37:09.567,139
T8AA9X5Z004,-317190526,8,0,218,93623,561692980667,2019-10-02T00:37:09.583,212
T8AAA14F004,907611778,11,1,54,3820422,85971353635,2019-10-02T00:36:55.230,135
T8AAAW8A014,1658293006,1,2,2533,3820422,85971353635,2019-10-02T01:03:57.660,397
T8AABMEV014,123675346,1,2,966,3820422,85971353635,2019-10-02T00:57:17.703,308
T8AAD12C014,37587726,1,2,2421,3820422,85971353635,2019-10-02T02:20:13.230,904
T8AADCY6014,204516042,1,0,22,6154732,251782689291,2019-10-02T00:36:29.710,17
T8AAD2VS014,1727415402,8,0,227,779763,270748224244,2019-10-02T00:36:31.833,11
T8AAE4MG014,-1682726993,1,0,200,6154732,251782689291,2019-10-02T00:36:30.257,11
T8AAE9D6014,1996939844,1,1,485,4032492,85971353635,2019-10-02T00:36:46.510,95
T8AAFWXZ014,-664058039,22,0,572,0,123456,2019-10-02T00:36:31.790,6
T8AAFUPK014,1658293006,1,2,1886,3820422,85971353635,2019-10-02T01:05:19.923,459
T8AAFZY8014,-310233470,8,0,1221,0,123456,2019-10-02T00:36:35.007,5
T8AAHGJZ014,-85168226,1,0,6415,6154732,251782689291,2019-10-02T00:36:33.930,28
T8AAJ8CP014,-1631231080,11,0,479,6154732,251782689291,2019-10-02T00:36:34.460,7
T8AAKWAR014,1009934927,1,2,304,3820422,85971353635,2019-10-02T01:11:12.827,407
T8AAKHFP014,939882956,1,0,351,6154732,251782689291,2019-10-02T07:07:00.170,13
T8AAM2PT014,-1649189581,11,0,690,6154732,251782689291,2019-10-02T00:36:36.587,10
T8AANV8Y014,1571376494,8,0,1468,1335343,180315393294,2019-10-02T00:36:37.663,4
T8AANPE3014,2130789544,8,0,10226,62073,251782689291,2019-10-02T00:36:46.527,6
